source_prefix	source_id	source_name	relation	target_prefix	target_id	type	source
ARI	1009	Age related macular degeneration	skos:exactMatch	icd10cm	362.5	manual	github:KrishnaTO
ARI	1009	Age related macular degeneration	skos:exactMatch	icd10cm	H35.30	manual	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	umls	C0002171	manual	github:KrishnaTO
ARI	1011	Angiofollicular lymph node hyperplasia	skos:exactMatch	umls	C0017531	manual	github:KrishnaTO
ARI	1012	Ankylosing spondylitis	skos:exactMatch	umls	C0038013	manual	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	DOID	986	manual	github:KrishnaTO
ARI	1011	Angiofollicular lymph node hyperplasia	skos:exactMatch	DOID	111157	manual	github:KrishnaTO
ARI	1012	Ankylosing spondylitis	skos:exactMatch	DOID	7147	manual	github:KrishnaTO
ARI	1011	Angiofollicular lymph node hyperplasia	skos:exactMatch	SNOMEDCT	207036003	manual	github:KrishnaTO
ARI	1012	Ankylosing spondylitis	skos:exactMatch	SNOMEDCT	9631008	manual	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	SNOMEDCT	68225006	manual	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	icd10cm	704.01	manual	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	icd10cm	L63	manual	github:KrishnaTO
ARI	1011	Angiofollicular lymph node hyperplasia	skos:exactMatch	icd10cm	D47.Z2	manual	github:KrishnaTO
ARI	1012	Ankylosing spondylitis	skos:exactMatch	icd10cm	M45	manual	github:KrishnaTO
ARI	1012	Ankylosing spondylitis	skos:exactMatch	icd10cm	720	manual	github:KrishnaTO
ARI	1005	Acute lichenoid pityriasis	skos:exactMatch	ncit	null	manual	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	mesh	D000506	manual	github:KrishnaTO
ARI	1011	Angiofollicular lymph node hyperplasia	skos:exactMatch	mesh	D005871	manual	github:KrishnaTO
ARI	1012	Ankylosing spondylitis	skos:exactMatch	mesh	D013167	manual	github:KrishnaTO
ARI	1011	Angiofollicular lymph node hyperplasia	skos:exactMatch	ncit	C3056	manual	github:KrishnaTO
ARI	1012	Ankylosing spondylitis	skos:exactMatch	ncit	C84564	manual	github:KrishnaTO
ARI	1006	Addison's disease	skos:exactMatch	SNOMEDCT	386584007	manual-negative	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	SNOMEDCT	19754005	manual-negative	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	SNOMEDCT	86166000	manual-negative	github:KrishnaTO
ARI	1011	Angiofollicular lymph node hyperplasia	skos:exactMatch	mesh	C536362	manual-negative	github:KrishnaTO
ARI	1010	Alopecia areata	skos:exactMatch	ncit	null	manual-negative	github:KrishnaTO
ARI	0001006	Addison's disease	skos:exactMatch	omop	443394	manual	github:AnjaliRH
ARI	0001006	Addison's disease	skos:exactMatch	MONDO	0100480	manual	github:AnjaliRH
ARI	0001008	Adult onset Still's disease	skos:exactMatch	MONDO	0019355	manual	github:AnjaliRH
ARI	0001005	Acute lichenoid pityriasis	skos:exactMatch	MONDO	0024250	manual	github:AnjaliRH
ARI	0001005	Acute lichenoid pityriasis	skos:exactMatch	ncit	C37871	manual	github:AnjaliRH
ARI	0001005	Acute lichenoid pityriasis	skos:exactMatch	icd10cm	L41.0	manual	github:AnjaliRH
ARI	0001010	Alopecia areata	skos:exactMatch	omop	141933	manual	github:AnjaliRH
ARI	0001012	Ankylosing spondylitis	skos:exactMatch	omop	437082	manual	github:AnjaliRH
ARI	0001012	Ankylosing spondylitis	skos:exactMatch	MONDO	0005306	manual	github:AnjaliRH
ARI	0001011	Angiofollicular lymph node hyperplasia	skos:exactMatch	omop	4118225	manual	github:KrishnaTO
ARI	0001010	Alopecia areata	skos:exactMatch	omop	4056343	manual-negative	github:KrishnaTO
ARI	0001010	Alopecia areata	skos:exactMatch	omop	4312756	manual-negative	github:KrishnaTO
ARI	0001003	Acute disseminated encephalomyelitis	skos:exactMatch	omop	4249574	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	SNOMEDCT	7119001	manual	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	omop	4324123	manual	github:KrishnaTO
ARI	0001094	Female infertility due to antisperm antibodies	skos:exactMatch	SNOMEDCT	414238007	manual	github:KrishnaTO
ARI	0001094	Female infertility due to antisperm antibodies	skos:exactMatch	omop	4188008	manual	github:KrishnaTO
ARI	0001096	Graves' disease	skos:exactMatch	SNOMEDCT	353295004	manual	github:KrishnaTO
ARI	0001096	Graves' disease	skos:exactMatch	omop	4232076	manual	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	SNOMEDCT	40956001	manual	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	omop	4164770	manual	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	SNOMEDCT	2897005	manual	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	omop	4103532	manual	github:KrishnaTO
ARI	0001109	Immunoglobulin G4 related disease	skos:exactMatch	SNOMEDCT	10743271000119103	manual	github:KrishnaTO
ARI	0001109	Immunoglobulin G4 related disease	skos:exactMatch	omop	36717255	manual	github:KrishnaTO
ARI	0001115	Intermediate uveitis	skos:exactMatch	SNOMEDCT	314429009	manual	github:KrishnaTO
ARI	0001115	Intermediate uveitis	skos:exactMatch	omop	4197155	manual	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	SNOMEDCT	239891002	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	SNOMEDCT	200941006	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	SNOMEDCT	200938002	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	SNOMEDCT	403495008	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	SNOMEDCT	238927000	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	omop	4081248	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	omop	4066824	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	omop	4295301	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	omop	4066481	manual-negative	github:KrishnaTO
ARI	0001076	Cutaneous lupus erythematosus	skos:exactMatch	omop	4343923	manual-negative	github:KrishnaTO
ARI	0001094	Female infertility due to antisperm antibodies	skos:exactMatch	SNOMEDCT	236816007	manual-negative	github:KrishnaTO
ARI	0001094	Female infertility due to antisperm antibodies	skos:exactMatch	omop	4127869	manual-negative	github:KrishnaTO
ARI	0001096	Graves' disease	skos:exactMatch	SNOMEDCT	237499004	manual-negative	github:KrishnaTO
ARI	0001096	Graves' disease	skos:exactMatch	SNOMEDCT	90739004	manual-negative	github:KrishnaTO
ARI	0001096	Graves' disease	skos:exactMatch	omop	138387	manual-negative	github:KrishnaTO
ARI	0001096	Graves' disease	skos:exactMatch	omop	4034811	manual-negative	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	SNOMEDCT	715770009	manual-negative	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	SNOMEDCT	716723000	manual-negative	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	SNOMEDCT	1767005	manual-negative	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	omop	37396086	manual-negative	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	omop	4070552	manual-negative	github:KrishnaTO
ARI	0001097	Guillain-Barré syndrome	skos:exactMatch	omop	37396786	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	SNOMEDCT	438476003	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	SNOMEDCT	13172003	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	SNOMEDCT	32273002	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	SNOMEDCT	128091003	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	SNOMEDCT	128092005	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	omop	4028065	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	omop	4137430	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	omop	318397	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	omop	4230266	manual-negative	github:KrishnaTO
ARI	0001107	Immune thrombocytopenia	skos:exactMatch	omop	4133983	manual-negative	github:KrishnaTO
ARI	0001109	Immunoglobulin G4 related disease	skos:exactMatch	SNOMEDCT	722870008	manual-negative	github:KrishnaTO
ARI	0001109	Immunoglobulin G4 related disease	skos:exactMatch	SNOMEDCT	234549008	manual-negative	github:KrishnaTO
ARI	0001109	Immunoglobulin G4 related disease	skos:exactMatch	omop	4121282	manual-negative	github:KrishnaTO
ARI	0001109	Immunoglobulin G4 related disease	skos:exactMatch	omop	36716713	manual-negative	github:KrishnaTO
ARI	0001115	Intermediate uveitis	skos:exactMatch	SNOMEDCT	45688009	manual-negative	github:KrishnaTO
ARI	0001115	Intermediate uveitis	skos:exactMatch	SNOMEDCT	1231232007	manual-negative	github:KrishnaTO
ARI	0001115	Intermediate uveitis	skos:exactMatch	omop	37164507	manual-negative	github:KrishnaTO
ARI	0001115	Intermediate uveitis	skos:exactMatch	omop	434026	manual-negative	github:KrishnaTO
